Gender,Job,Purchase,label
1,10,8370,0
1,10,15200,0
1,10,1422,0
1,10,1057,0
0,16,7969,6
0,15,15227,2
0,7,19215,4
0,7,15854,4
0,7,15686,4
0,20,7871,2
0,20,5254,2
0,20,3957,2
0,20,6073,2
0,20,15665,2
1,9,5378,5
1,9,2079,5
1,9,13055,5
1,9,8851,5
0,1,11788,3
0,12,19614,2
0,12,8584,2
0,12,9872,2
0,12,9743,2
0,12,5982,2
0,12,11927,2
0,17,16662,2
0,17,5887,2
0,17,6973,2
0,17,5391,2
1,1,16352,3
1,1,8886,3
1,1,5875,3
1,1,8854,3
1,1,10946,3
1,1,5152,3
1,1,7089,3
1,1,12909,3
1,1,8770,3
1,1,15212,3
1,1,15705,3
1,1,7947,3
1,1,18963,3
1,1,8718,3
1,1,16406,3
1,1,12642,3
1,1,10007,3
1,1,11562,3
1,1,6171,2
1,1,19327,2
1,1,8027,2
0,12,15246,2
0,12,6865,2
0,1,5839,4
0,1,15912,4
0,1,12107,4
0,0,5848,3
0,7,19653,2
0,7,5958,2
0,7,11415,2
0,7,5380,2
0,7,3594,2
0,7,4209,2
0,7,5407,2
0,7,7803,2
0,7,11458,2
1,0,11755,3
1,0,8702,3
0,1,15872,5
0,1,8609,5
0,1,15172,5
1,3,1780,1
1,3,10754,1
1,3,2802,1
1,3,19473,1
1,3,19672,1
1,3,19313,1
1,3,15182,1
1,3,15985,1
1,3,16454,1
1,3,13551,1
1,3,697,1
1,3,7030,1
1,3,5430,1
1,3,8011,1
1,3,5912,1
0,10,7746,0
0,10,19525,0
0,10,11959,0
0,10,19172,0
0,10,8773,0
0,10,11023,0
0,10,4654,0
0,10,4664,0
0,10,8290,0
0,10,7011,0
0,10,4211,0
0,10,1539,0
0,16,3055,1
0,15,12099,1
0,15,8797,1
0,15,10681,1
0,15,7801,1
0,15,15517,1
0,15,12098,1
0,15,6976,1
0,15,5384,1
0,15,6973,1
0,15,5168,1
0,15,3449,1
0,15,7177,1
0,15,4570,1
0,15,9564,1
0,0,15766,3
0,0,8481,3
0,0,6108,3
0,0,15354,3
0,0,12015,3
0,0,15371,3
0,0,19239,3
0,0,16137,3
0,0,11887,3
0,0,5183,3
0,0,584,3
0,0,7601,3
1,7,2230,2
1,7,6940,2
1,7,15774,2
0,4,15361,1
0,4,15770,1
0,4,18974,1
0,7,1848,2
0,7,3624,2
0,7,5275,2
0,7,5356,2
